game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822957,2026-07-08,641355,"Bellinger, Cody",TB,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2026
822957,2026-07-08,642708,"Rosario, Amed",TB,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822957,2026-07-08,663757,"Grisham, Trent",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822957,2026-07-08,669224,"Wells, Austin",TB,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822957,2026-07-08,676609,"Caballero, José",TB,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822957,2026-07-08,680474,"Schuemann, Max",TB,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2026
822957,2026-07-08,683011,"Volpe, Anthony",TB,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822957,2026-07-08,691176,"Domínguez, Jasson",TB,4,4,2,2,0,0,0,0,0,1,0,0,0,2,2026
822957,2026-07-08,700250,"Rice, Ben",TB,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822958,2026-07-06,502671,"Goldschmidt, Paul",TB,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
822958,2026-07-06,641355,"Bellinger, Cody",TB,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
822958,2026-07-06,641857,"McMahon, Ryan",TB,3,3,0,0,0,0,0,0,0,3,0,0,0,0,2026
822958,2026-07-06,663757,"Grisham, Trent",TB,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822958,2026-07-06,665862,"Chisholm Jr., Jazz",TB,3,2,0,0,0,0,0,1,0,2,0,0,0,0,2026
822958,2026-07-06,669224,"Wells, Austin",TB,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822958,2026-07-06,676609,"Caballero, José",TB,3,3,2,0,0,0,2,0,0,0,0,0,4,8,2026
822958,2026-07-06,691176,"Domínguez, Jasson",TB,4,3,0,0,0,0,0,1,0,2,0,0,0,0,2026
822958,2026-07-06,700250,"Rice, Ben",TB,4,4,1,0,0,0,1,0,0,2,0,0,1,4,2026
822996,2026-04-11,519317,"Stanton, Giancarlo",TB,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
822996,2026-04-11,545341,"Grichuk, Randal",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822996,2026-04-11,592450,"Judge, Aaron",TB,5,3,0,0,0,0,0,2,0,1,0,0,0,0,2026
822996,2026-04-11,641355,"Bellinger, Cody",TB,5,5,2,2,0,0,0,0,0,1,0,0,0,2,2026
822996,2026-04-11,641857,"McMahon, Ryan",TB,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2026
822996,2026-04-11,642708,"Rosario, Amed",TB,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822996,2026-04-11,663757,"Grisham, Trent",TB,5,3,0,0,0,0,0,2,0,0,0,0,0,0,2026
822996,2026-04-11,665862,"Chisholm Jr., Jazz",TB,5,5,1,0,1,0,0,0,0,1,0,0,0,2,2026
822996,2026-04-11,669224,"Wells, Austin",TB,5,5,1,0,0,0,1,0,0,1,0,0,1,4,2026
822996,2026-04-11,676609,"Caballero, José",TB,5,5,2,1,1,0,0,0,0,2,0,0,3,3,2026
822996,2026-04-11,700250,"Rice, Ben",TB,5,3,1,0,1,0,0,2,0,1,0,0,0,2,2026
822997,2026-04-10,502671,"Goldschmidt, Paul",TB,3,1,0,0,0,0,0,1,1,1,0,0,0,0,2026
822997,2026-04-10,519317,"Stanton, Giancarlo",TB,4,3,1,1,0,0,0,1,0,1,0,0,0,1,2026
822997,2026-04-10,545341,"Grichuk, Randal",TB,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2026
822997,2026-04-10,592450,"Judge, Aaron",TB,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
822997,2026-04-10,641355,"Bellinger, Cody",TB,4,3,0,0,0,0,0,0,0,2,0,0,1,0,2026
822997,2026-04-10,642708,"Rosario, Amed",TB,4,4,2,1,0,1,0,0,0,1,0,0,1,4,2026
822997,2026-04-10,663757,"Grisham, Trent",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822997,2026-04-10,665862,"Chisholm Jr., Jazz",TB,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822997,2026-04-10,669224,"Wells, Austin",TB,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2026
