game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822997,2026-04-10,676609,"Caballero, José",TB,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2026
822997,2026-04-10,700250,"Rice, Ben",TB,1,1,1,0,0,0,1,0,0,0,0,0,1,4,2026
822998,2026-04-12,519317,"Stanton, Giancarlo",TB,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026
822998,2026-04-12,545341,"Grichuk, Randal",TB,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2026
822998,2026-04-12,592450,"Judge, Aaron",TB,4,3,1,0,0,0,1,1,0,1,0,0,2,4,2026
822998,2026-04-12,641355,"Bellinger, Cody",TB,4,4,1,1,0,0,0,0,0,1,0,0,1,1,2026
822998,2026-04-12,641555,"Escarra, J.C.",TB,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2026
822998,2026-04-12,641857,"McMahon, Ryan",TB,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822998,2026-04-12,642708,"Rosario, Amed",TB,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2026
822998,2026-04-12,663757,"Grisham, Trent",TB,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822998,2026-04-12,665862,"Chisholm Jr., Jazz",TB,4,4,1,0,1,0,0,0,0,0,0,0,0,2,2026
822998,2026-04-12,669224,"Wells, Austin",TB,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2026
822998,2026-04-12,676609,"Caballero, José",TB,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822998,2026-04-12,700250,"Rice, Ben",TB,4,4,2,1,1,0,0,0,0,2,0,0,0,3,2026
823157,2026-04-01,502671,"Goldschmidt, Paul",SEA,4,4,1,0,0,0,1,0,0,2,0,0,3,4,2026
823157,2026-04-01,592450,"Judge, Aaron",SEA,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
823157,2026-04-01,641355,"Bellinger, Cody",SEA,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
823157,2026-04-01,641857,"McMahon, Ryan",SEA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
823157,2026-04-01,642708,"Rosario, Amed",SEA,3,3,1,1,0,0,0,0,0,0,0,0,0,1,2026
823157,2026-04-01,663757,"Grisham, Trent",SEA,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
823157,2026-04-01,665862,"Chisholm Jr., Jazz",SEA,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
823157,2026-04-01,669224,"Wells, Austin",SEA,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
823157,2026-04-01,676609,"Caballero, José",SEA,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
823157,2026-04-01,700250,"Rice, Ben",SEA,4,4,2,0,1,0,1,1,0,0,0,0,2,6,2026
823158,2026-03-31,519317,"Stanton, Giancarlo",SEA,4,4,2,1,1,0,0,0,0,0,0,0,2,3,2026
823158,2026-03-31,592450,"Judge, Aaron",SEA,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2026
823158,2026-03-31,641355,"Bellinger, Cody",SEA,4,3,2,2,0,0,0,1,0,0,0,0,0,2,2026
823158,2026-03-31,641555,"Escarra, J.C.",SEA,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
823158,2026-03-31,641857,"McMahon, Ryan",SEA,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
823158,2026-03-31,663757,"Grisham, Trent",SEA,4,4,2,1,1,0,0,0,0,1,0,0,0,3,2026
823158,2026-03-31,665862,"Chisholm Jr., Jazz",SEA,4,4,1,1,0,0,0,0,0,2,0,0,1,1,2026
823158,2026-03-31,676609,"Caballero, José",SEA,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
823158,2026-03-31,700250,"Rice, Ben",SEA,4,3,2,1,1,0,0,2,0,0,0,0,1,3,2026
823159,2026-03-30,519317,"Stanton, Giancarlo",SEA,4,4,2,1,1,0,0,0,0,1,0,0,0,3,2026
823159,2026-03-30,592450,"Judge, Aaron",SEA,4,3,1,1,0,0,0,1,0,1,0,0,0,1,2026
823159,2026-03-30,641355,"Bellinger, Cody",SEA,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
823159,2026-03-30,641857,"McMahon, Ryan",SEA,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2026
823159,2026-03-30,642708,"Rosario, Amed",SEA,2,1,0,0,0,0,0,0,0,1,0,0,1,0,2026
823159,2026-03-30,663757,"Grisham, Trent",SEA,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
823159,2026-03-30,665862,"Chisholm Jr., Jazz",SEA,4,4,1,0,1,0,0,0,0,1,0,0,0,2,2026
823159,2026-03-30,669224,"Wells, Austin",SEA,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2026
823159,2026-03-30,676609,"Caballero, José",SEA,3,2,1,1,0,0,0,1,0,1,0,0,0,1,2026
823159,2026-03-30,700250,"Rice, Ben",SEA,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2026
823241,2026-03-28,519317,"Stanton, Giancarlo",SF,4,4,2,2,0,0,0,0,0,1,0,0,0,2,2026
